day,species,treatment,geno,fvfm,etr,ik,alpha,tpcm,rcm,pscm,chlcm,cellcm
T2,stylophora,Amb,Black,0.543,55.37,101.92,0.543,0.923,0.060,0.067,33.56,0.915780452
T2,stylophora,Amb,Blue,0.421,43.09,95.57,0.451,0.479,0.052,0.068,46.60,1.885963869
T2,stylophora,Amb,Pink,0.393,41.39,95.94,0.431,1.027,0.089,0.103,50.72,7.036344231
T2,stylophora,Amb,Yellow,0.465,46.42,98.26,0.472,0.712,0.090,0.132,44.53,1.174005619
T2,stylophora,Amb,Orange,0.566,71.68,127.48,0.562,0.821,0.032,0.075,49.32,2.17015736
T2,stylophora,Amb,Green,0.439,48.86,111.50,0.438,0.080,0.069,0.123,10.95,4.194344101
T2,stylophora,Min 3,Black,0.433,32.35,62.42,0.518,,0.025,0.029,19.67,0.808539145
T2,stylophora,Min 3,Blue,0.400,31.65,75.38,0.420,,0.033,0.003,11.33,0.803265996
T2,stylophora,Min 3,Pink,0.438,38.40,84.40,0.455,0.712,0.140,0.006,14.29,0.633711021
T2,stylophora,Min 3,Yellow,0.372,28.97,74.21,0.390,0.877,0.145,0.006,11.51,0.847253802
T2,stylophora,Min 3,Orange,0.421,41.47,98.28,0.422,0.531,0.098,0.038,22.52,1.032065152
T2,stylophora,Min 3,Green,0.428,38.88,93.30,0.417,0.614,0.070,0.027,13.20,0.259736566
T2,stylophora,Min 6,Black,0.343,19.52,59.71,0.327,0.895,0.128,0.009,23.39,1.065158207
T2,stylophora,Min 6,Blue,0.391,29.82,67.35,0.443,0.649,0.076,0.010,23.49,0.347692195
T2,stylophora,Min 6,Pink,0.335,22.11,59.32,0.373,0.973,0.166,-0.025,7.21,0.702208712
T2,stylophora,Min 6,Yellow,0.303,19.28,56.28,0.343,0.758,0.070,0.009,11.97,0.270659869
T2,stylophora,Min 6,Orange,0.427,35.97,89.23,0.403,1.358,0.042,-0.019,29.26,1.140536561
T2,stylophora,Min 6,Green,0.465,31.53,64.74,0.487,1.058,0.118,,24.15,1.670340105
T4,stylophora,Amb,Black,0.452,27.10,50.70,0.535,0.173,0.095,0.048,5.58,3.03970638
T4,stylophora,Amb,Blue,0.480,20.40,35.00,0.584,0.339,0.065,0.026,8.75,3.766454685
T4,stylophora,Amb,Pink,0.538,36.60,57.20,0.641,0.314,0.059,0.007,11.13,3.310166776
T4,stylophora,Amb,Yellow,0.483,32.00,60.60,0.527,0.104,0.018,0.009,4.40,1.128988857
T4,stylophora,Amb,Orange,0.519,29.80,47.90,0.622,0.341,0.079,0.040,15.66,3.616374908
T4,stylophora,Amb,Green,0.533,34.80,59.70,0.583,0.497,0.178,0.071,16.72,5.993500944
T4,stylophora,Min 3,Black,0.506,25.80,57.40,0.449,0.316,0.085,0.014,14.05,2.168037281
T4,stylophora,Min 3,Blue,0.485,22.80,50.50,0.452,0.419,0.062,0.007,12.10,4.408081811
T4,stylophora,Min 3,Pink,0.502,39.00,92.50,0.421,0.526,0.081,0.016,22.55,2.025055363
T4,stylophora,Min 3,Yellow,0.480,29.39,61.76,0.476,0.427,0.065,0.013,14.41,1.984375159
T4,stylophora,Min 3,Orange,0.501,42.11,81.30,0.518,0.082,0.074,0.021,11.38,5.096903652
T4,stylophora,Min 3,Green,0.519,34.93,81.53,0.428,0.514,0.091,0.010,14.86,2.017538406
T4,stylophora,Min 6,Black,0.475,20.86,45.08,0.463,0.359,0.035,0.018,11.68,1.942544492
T4,stylophora,Min 6,Blue,0.518,28.12,63.56,0.443,0.236,0.066,0.026,9.28,4.331072048
T4,stylophora,Min 6,Pink,0.525,32.99,70.05,0.471,0.298,0.063,0.007,6.95,0.919927023
T4,stylophora,Min 6,Yellow,0.498,31.43,68.38,0.460,0.431,0.044,0.022,20.41,4.863932427
T4,stylophora,Min 6,Orange,0.482,31.91,69.20,0.461,0.444,0.072,0.037,20.12,7.346647457
T4,stylophora,Min 6,Green,0.468,31.23,73.82,0.423,0.372,0.065,0.026,17.21,3.13583815